"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2c_sens_init_fear"
"05/06/2026 16:06:33:539 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"48","300","0.4","0.25","0.5","0.3","0.2","0.05","300","73194","11241","61953","0.8464218378555619","11241","7942","0.7822180438971318","0.9979735664994206"
"40","300","0.4","0.2","0.5","0.3","0.2","0.05","300","76667","12102","64565","0.8421485123977722","12102","8482","0.7598203375898115","1"
"49","300","0.4","0.25","0.5","0.3","0.2","0.05","300","74204","11374","62830","0.8467198533771765","11374","7966","0.79088267487281","0.9990984691711318"
"50","300","0.4","0.25","0.5","0.3","0.2","0.05","300","73466","11237","62229","0.8470448915144421","11237","7887","0.7733277614122307","1"
"51","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70345","10465","59880","0.8512332077617457","10465","7297","0.7980178243659259","0.9959164705915949"
"52","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69836","10301","59535","0.8524972793401684","10301","7299","0.7946958309518589","0.9902908018689551"
"53","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69799","10445","59354","0.850356022292583","10445","7338","0.7954475506995182","0.9936962201294972"
"56","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69113","10342","58771","0.850361002995095","10342","7247","0.8035441703910761","0.9891128199571526"
"54","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69301","10312","58989","0.8511998383861705","10312","7263","0.7919010097061623","0.9872213503180902"
"57","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69343","10328","59015","0.851059227319268","10328","7258","0.790155870332132","0.9900935111513426"
"62","300","0.4","0.35","0.5","0.3","0.2","0.05","300","65379","9468","55911","0.8551828568806498","9468","6649","0.8100284767330405","0.9554155507937478"
"55","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70596","10472","60124","0.8516629837384554","10472","7302","0.811630001412309","0.9930181227571874"
"58","300","0.4","0.3","0.5","0.3","0.2","0.05","300","68806","10229","58577","0.851335639333779","10229","7221","0.7921281530055468","0.9892140347744248"
