"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2a_sens_employees"
"05/06/2026 16:05:47:849 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"29","150","0.4","0.3","0.5","0.3","0.2","0.05","300","24575","5649","18926","0.7701322482197355","5649","3957","0.6411541182552374","0.5737131011287538"
"26","150","0.4","0.3","0.5","0.3","0.2","0.05","300","24956","5748","19208","0.7696746273441256","5748","4054","0.6631858866512924","0.5813379972136494"
"51","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69418","10368","59050","0.8506439252067187","10368","7190","0.794257513605557","0.992332895799272"
"53","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69986","10260","59726","0.8533992512788272","10260","7263","0.7862091576426964","0.9897679714921509"
"50","250","0.4","0.3","0.5","0.3","0.2","0.05","300","53335","9053","44282","0.8302615543264273","9053","6330","0.7772108993493027","0.922059649916662"
"52","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69146","10310","58836","0.850895207242646","10310","7249","0.7890631899055552","0.9848489958980357"
"54","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69625","10345","59280","0.8514183123877918","10345","7311","0.8002724328886578","0.9926323403969233"
"49","250","0.4","0.3","0.5","0.3","0.2","0.05","300","53238","9122","44116","0.82865622299861","9122","6305","0.7789028379779321","0.9314211709319199"
"55","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69937","10447","59490","0.8506227032901039","10447","7302","0.8006420062228586","0.9922428949951403"
"41","250","0.4","0.3","0.5","0.3","0.2","0.05","300","51702","8851","42851","0.8288073962322541","8851","6273","0.7635724194730197","0.8961394079777651"
"39","200","0.4","0.3","0.5","0.3","0.2","0.05","300","36907","7340","29567","0.8011217384236052","7340","5176","0.7152559682517591","0.7120040273794674"
"57","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69567","10281","59286","0.8522144120056924","10281","7215","0.7786875232524242","0.9876546636630867"
"37","200","0.4","0.3","0.5","0.3","0.2","0.05","300","36797","7485","29312","0.7965866782618148","7485","5151","0.7097453892166147","0.7258593537406561"
"56","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69671","10369","59302","0.8511719366737954","10369","7304","0.7857205200454963","0.9900260437566556"
"38","200","0.4","0.3","0.5","0.3","0.2","0.05","300","36643","7382","29261","0.7985426957399776","7382","5148","0.7070126572214933","0.7115467784457945"
"58","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70635","10450","60185","0.8520563460041056","10450","7324","0.7975856079551726","0.995091429603114"
"36","200","0.4","0.3","0.5","0.3","0.2","0.05","300","36466","7339","29127","0.798744035539955","7339","5173","0.7159401357580626","0.700615739195872"
"45","250","0.4","0.3","0.5","0.3","0.2","0.05","300","53774","9090","44684","0.830959199613196","9090","6351","0.7787594385186427","0.9351903298232084"
"44","250","0.4","0.3","0.5","0.3","0.2","0.05","300","52810","9049","43761","0.8286498769172506","9049","6306","0.7559861356602204","0.9239301758716086"
"60","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69899","10401","59498","0.8511995879769382","10401","7250","0.7942177232179336","0.9925213340047639"
"59","300","0.4","0.3","0.5","0.3","0.2","0.05","300","71066","10597","60469","0.850885092730701","10597","7394","0.7995438228272158","0.9964865472717676"
"62","400","0.4","0.3","0.5","0.3","0.2","0.05","300","101363","12585","88778","0.8758422698617839","12585","8836","0.8270005195614399","1"
