"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2b_sens_init_propensity"
"05/06/2026 16:06:05:966 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"33","300","0.25","0.3","0.5","0.3","0.2","0.05","300","36197","8207","27990","0.7732685029146061","8207","5688","0.651208898448449","0.423165043168416"
"36","300","0.25","0.3","0.5","0.3","0.2","0.05","300","35763","8017","27746","0.7758297681961804","8017","5670","0.6729768935609942","0.4221942449323869"
"40","300","0.25","0.3","0.5","0.3","0.2","0.05","300","35607","8040","27567","0.7742017019125453","8040","5649","0.6729348730174158","0.4153205544459961"
"47","300","0.3","0.3","0.5","0.3","0.2","0.05","300","44540","8887","35653","0.8004714863044454","8887","6228","0.6932133242917289","0.5362367923604139"
"39","300","0.25","0.3","0.5","0.3","0.2","0.05","300","36023","8130","27893","0.7743108569525026","8130","5741","0.6775069105655205","0.4160550322070292"
"48","300","0.3","0.3","0.5","0.3","0.2","0.05","300","43792","8727","35065","0.8007170259408111","8727","6132","0.6981217953811762","0.5260847480476872"
"32","300","0.25","0.3","0.5","0.3","0.2","0.05","300","35872","8071","27801","0.7750055753791257","8071","5662","0.6609391887407731","0.41752058951632165"
"41","300","0.3","0.3","0.5","0.3","0.2","0.05","300","44342","8952","35390","0.798114654278111","8952","6176","0.7143221675247217","0.5408970517166094"
"42","300","0.3","0.3","0.5","0.3","0.2","0.05","300","44194","8828","35366","0.8002443770647599","8828","6221","0.7108087653406729","0.5358578341918078"
"51","300","0.35","0.3","0.5","0.3","0.2","0.05","300","55001","9615","45386","0.8251849966364248","9615","6672","0.7571872891862961","0.7792826038941821"
"52","300","0.35","0.3","0.5","0.3","0.2","0.05","300","55291","9656","45635","0.825360366063193","9656","6749","0.7645753077423099","0.791283485365604"
"50","300","0.3","0.3","0.5","0.3","0.2","0.05","300","43940","8805","35135","0.7996131087847064","8805","6198","0.7016081395809941","0.5284758979847887"
"45","300","0.3","0.3","0.5","0.3","0.2","0.05","300","44307","8782","35525","0.8017920418895434","8782","6114","0.6954674826828391","0.5218315902763578"
"56","300","0.35","0.3","0.5","0.3","0.2","0.05","300","55346","9587","45759","0.8267806164853828","9587","6717","0.7496261143597989","0.76855917426202"
"46","300","0.3","0.3","0.5","0.3","0.2","0.05","300","43526","8712","34814","0.7998437715388503","8712","6170","0.7070652825124754","0.5228251493177114"
"54","300","0.35","0.3","0.5","0.3","0.2","0.05","300","53554","9292","44262","0.8264928856854763","9292","6569","0.72938908633044","0.7301059012389002"
"57","300","0.35","0.3","0.5","0.3","0.2","0.05","300","56073","9664","46409","0.8276532377436556","9664","6750","0.7760643954754691","0.7890264940108036"
"58","300","0.35","0.3","0.5","0.3","0.2","0.05","300","54578","9488","45090","0.8261570596210928","9488","6670","0.756717359143215","0.7630647448696706"
"60","300","0.35","0.3","0.5","0.3","0.2","0.05","300","54499","9408","45091","0.8273729793207215","9408","6697","0.7417994420634855","0.7468936295541978"
"59","300","0.35","0.3","0.5","0.3","0.2","0.05","300","56197","9709","46488","0.8272327704325854","9709","6749","0.7499386823017521","0.7999649139222743"
"63","300","0.4","0.3","0.5","0.3","0.2","0.05","300","71031","10514","60517","0.8519801213554645","10514","7270","0.7931893908206492","0.995287717133482"
"61","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69815","10325","59490","0.8521091455990832","10325","7277","0.791454956828029","0.9909844225916928"
"64","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70110","10451","59659","0.8509342461845671","10451","7267","0.7982105468654929","0.9920888946730285"
"62","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70002","10342","59660","0.8522613639610297","10342","7253","0.7827230105622799","0.9920603924225126"
"43","300","0.3","0.3","0.5","0.3","0.2","0.05","300","44188","8834","35354","0.8000814700823753","8834","6177","0.7136305027196473","0.5371543837657963"
"66","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70618","10475","60143","0.8516667138689853","10475","7383","0.7862115783551085","0.9960713454097909"
"65","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70405","10398","60007","0.8523116255947731","10398","7297","0.8078007966475447","0.990264404042401"
"67","300","0.4","0.3","0.5","0.3","0.2","0.05","300","68465","10315","58150","0.8493390783612065","10315","7277","0.7820267447432155","0.9869382973977329"
"68","300","0.4","0.3","0.5","0.3","0.2","0.05","300","68787","10327","58460","0.8498698882056203","10327","7236","0.8030221222860231","0.9848611837407291"
"69","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69940","10400","59540","0.8513011152416357","10400","7323","0.8062592342200564","0.9890882454696098"
"70","300","0.4","0.3","0.5","0.3","0.2","0.05","300","69289","10452","58837","0.8491535452957901","10452","7235","0.8032432945292562","0.9900932078919616"
"72","300","0.45","0.3","0.5","0.3","0.2","0.05","300","78563","10880","67683","0.861512416786528","10880","7589","0.804131550846617","1"
"71","300","0.45","0.3","0.5","0.3","0.2","0.05","300","78291","10824","67467","0.861746560907384","10824","7496","0.7936338052179669","1"
"73","300","0.45","0.3","0.5","0.3","0.2","0.05","300","78049","10867","67182","0.8607669540929416","10867","7616","0.8011997867949691","1"
"74","300","0.45","0.3","0.5","0.3","0.2","0.05","300","77703","10832","66871","0.8605974029316757","10832","7585","0.7936975686892206","1"
"38","300","0.25","0.3","0.5","0.3","0.2","0.05","300","36363","8139","28224","0.7761735830377031","8139","5717","0.6658499982211326","0.42075575011485006"
"76","300","0.45","0.3","0.5","0.3","0.2","0.05","300","77812","10777","67035","0.8614995116434483","10777","7534","0.8066571045965578","1"
"75","300","0.45","0.3","0.5","0.3","0.2","0.05","300","78131","10743","67388","0.8625001599877129","10743","7526","0.8004272918877328","1"
"77","300","0.45","0.3","0.5","0.3","0.2","0.05","300","78909","10899","68010","0.8618788731323423","10899","7527","0.798240750285251","1"
"53","300","0.35","0.3","0.5","0.3","0.2","0.05","300","55776","9672","46104","0.826592082616179","9672","6709","0.7603843097931439","0.7769450249017011"
"49","300","0.3","0.3","0.5","0.3","0.2","0.05","300","44485","8848","35637","0.8011014948859166","8848","6169","0.7075181107198794","0.5370839585121971"
"78","300","0.45","0.3","0.5","0.3","0.2","0.05","300","77801","10685","67116","0.8626624336448118","10685","7591","0.7995144057695565","1"
"80","300","0.45","0.3","0.5","0.3","0.2","0.05","300","77945","10826","67119","0.8611071909679903","10826","7582","0.7966040502226378","1"
"79","300","0.45","0.3","0.5","0.3","0.2","0.05","300","78702","10884","67818","0.8617061828161927","10884","7633","0.7927195747227351","1"
"82","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82243","11000","71243","0.8662500151988619","11000","7704","0.8006622481464756","1"
"84","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82591","11133","71458","0.8652032303761911","11133","7715","0.8011772473354722","1"
"88","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82504","11023","71481","0.866394356637254","11023","7767","0.7955676718810164","1"
"55","300","0.35","0.3","0.5","0.3","0.2","0.05","300","55312","9519","45793","0.8279035290714493","9519","6697","0.7493327754411243","0.7727634871342595"
"81","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82469","11040","71429","0.8661315160848319","11040","7684","0.7925964798281786","1"
"85","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82518","11043","71475","0.8661746528030247","11043","7746","0.8155680146424436","1"
"87","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82088","10969","71119","0.8663751096384368","10969","7682","0.7953602610783191","1"
"86","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82335","11091","71244","0.8652942248132629","11091","7750","0.7872741120196534","1"
"83","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82553","11016","71537","0.8665584533572371","11016","7730","0.7957915366043979","1"
"90","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82337","10964","71373","0.8668399383023428","10964","7721","0.8012478722662231","1"
"44","300","0.3","0.3","0.5","0.3","0.2","0.05","300","44050","8809","35241","0.800022701475596","8809","6208","0.7032971326641515","0.5310007633188614"
"89","300","0.5","0.3","0.5","0.3","0.2","0.05","300","82789","11124","71665","0.8656343234004518","11124","7693","0.795805551897596","1"
"95","300","0.55","0.3","0.5","0.3","0.2","0.05","300","85197","11208","73989","0.8684460720447903","11208","7838","0.8017369180625674","1"
"91","300","0.55","0.3","0.5","0.3","0.2","0.05","300","85054","11214","73840","0.8681543490018107","11214","7831","0.7945290469218255","1"
"92","300","0.55","0.3","0.5","0.3","0.2","0.05","300","84645","11036","73609","0.8696201783921083","11036","7784","0.8156660099665904","1"
"97","300","0.55","0.3","0.5","0.3","0.2","0.05","300","84970","11259","73711","0.8674944097916912","11259","7778","0.8080751886943552","1"
"96","300","0.55","0.3","0.5","0.3","0.2","0.05","300","84698","11124","73574","0.8686627783418734","11124","7794","0.7927066112869626","1"
"100","300","0.55","0.3","0.5","0.3","0.2","0.05","300","84995","11202","73793","0.868204012000706","11202","7826","0.7870318127055407","1"
"98","300","0.55","0.3","0.5","0.3","0.2","0.05","300","84313","11058","73255","0.8688458482084613","11058","7801","0.7989847319344192","1"
"93","300","0.55","0.3","0.5","0.3","0.2","0.05","300","84696","11058","73638","0.8694389345423633","11058","7793","0.8004813044293528","1"
"101","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86378","11072","75306","0.8718192132255899","11072","7854","0.8002072818334641","1"
"99","300","0.55","0.3","0.5","0.3","0.2","0.05","300","85051","11088","73963","0.8696311624789832","11088","7774","0.787964032571956","1"
"104","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86639","11252","75387","0.8701277715578435","11252","7912","0.798371529144297","1"
"94","300","0.55","0.3","0.5","0.3","0.2","0.05","300","85003","11251","73752","0.8676399656482713","11251","7782","0.7930318016466495","1"
"102","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86824","11276","75548","0.8701280751865843","11276","7899","0.8026278986962958","1"
"105","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86749","11294","75455","0.8698082975019885","11294","7894","0.8012935021995815","1"
"103","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86305","11176","75129","0.8705057644400672","11176","7872","0.7972364899852625","1"
"108","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86745","11267","75478","0.8701135512133265","11267","7879","0.7910363265705073","1"
"107","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86565","11191","75374","0.870721423207994","11191","7804","0.7953134447814841","1"
"110","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86647","11296","75351","0.8696319549436218","11296","7919","0.8030293115913641","1"
"106","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86327","11290","75037","0.8692182051965202","11290","7850","0.8195073616712646","1"
"111","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87848","11246","76602","0.8719834259174939","11246","7931","0.7992382918824142","1"
"109","300","0.6","0.3","0.5","0.3","0.2","0.05","300","86642","11392","75250","0.8685164239052654","11392","7930","0.7922541695033025","1"
"112","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87599","11263","76336","0.8714254728935262","11263","7908","0.7913569127949327","1"
"113","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87616","11218","76398","0.8719640248356465","11218","7882","0.8021490856033818","1"
"114","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87676","11231","76445","0.8719033715041744","11231","7898","0.7833526014829623","1"
"117","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87669","11256","76413","0.871607980015741","11256","7891","0.809391574614341","1"
"116","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87723","11284","76439","0.8713678282776467","11284","7888","0.8042752322778827","1"
"118","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87596","11243","76353","0.8716493903831225","11243","7918","0.7879636698675154","1"
"115","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87599","11446","76153","0.8693364079498624","11446","7927","0.8064784971172722","1"
"119","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87623","11355","76268","0.8704107369069765","11355","7901","0.8110765668899433","1"
"120","300","0.65","0.3","0.5","0.3","0.2","0.05","300","87776","11397","76379","0.870158129784907","11397","7888","0.795737010036131","1"
