"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-C.nlogox"
"exp1_policy_grid"
"05/06/2026 14:42:47:900 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","learning-rate","baseline-recovery-rate","punishment-severity","reporter-protection","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"35","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5834","3420","2414","0.4137812821391841","3420","2189","0.3713850710027111","0.05147889027298931"
"37","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5758","3398","2360","0.40986453629732544","3398","2179","0.3686602536778954","0.07148579669394561"
"39","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5683","3435","2248","0.3955657223297554","3435","2232","0.37059337754643085","0.060466680165719315"
"36","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5794","3404","2390","0.4124956851915775","3404","2287","0.3696342116579662","0.05809850076608061"
"41","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5101","3382","1719","0.33699274652029015","3382","1999","0.36315013806946356","0.052168118970253134"
"40","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5746","3391","2355","0.4098503306648103","3391","2206","0.3691183964972608","0.0636145123070135"
"38","300","0.4","0.3","0.2","0.05","0.2","0.35","300","5727","3441","2286","0.3991618648507072","3441","2250","0.376578718131141","0.06063076865537527"
"42","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5065","3379","1686","0.3328726554787759","3379","2021","0.3622270519467739","0.05672315796702357"
"44","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5106","3395","1711","0.33509596553074816","3395","2026","0.35934995084636406","0.052015959228509254"
"43","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5222","3387","1835","0.3513979318268862","3387","2101","0.36218208434556703","0.06113619443467632"
"45","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5109","3398","1711","0.33489919749461733","3398","2006","0.3602396267016027","0.05243625260055038"
"46","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5097","3419","1678","0.3292132627035511","3419","2041","0.36480287786172677","0.05701233847857724"
"47","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5102","3399","1703","0.3337906703253626","3399","2019","0.36341776971390016","0.04502746486849005"
"54","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4612","3401","1211","0.26257588898525586","3401","1841","0.3509353898637411","0.0548956866670204"
"51","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4600","3406","1194","0.25956521739130434","3406","1874","0.35474246472135695","0.04595141741731782"
"48","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5124","3436","1688","0.3294301327088212","3436","2078","0.3634476055018446","0.04707526543835451"
"56","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4600","3362","1238","0.2691304347826087","3362","1810","0.35062185902833326","0.04840394613029562"
"52","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4691","3387","1304","0.27797910893199745","3387","1864","0.35134990583894177","0.044397108576856956"
"50","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5109","3415","1694","0.33157173615188884","3415","2039","0.3593510720015728","0.05841916757120685"
"49","300","0.4","0.3","0.2","0.05","0.2","0.4","300","5058","3433","1625","0.32127323052589957","3433","2037","0.3644669884363723","0.05023620128333348"
"55","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4688","3376","1312","0.27986348122866894","3376","1856","0.35090465439405827","0.04843249566748775"
"57","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4621","3397","1224","0.26487773209262067","3397","1931","0.35647163251380204","0.04844953229582172"
"59","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4693","3380","1313","0.27977839335180055","3380","1873","0.3523527981420715","0.05660962167281433"
"58","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4608","3399","1209","0.2623697916666667","3399","1903","0.35444578596522786","0.042825627007504564"
"60","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4641","3374","1267","0.2730015082956259","3374","1783","0.35186898744156103","0.04904123107870322"
"61","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4317","3385","932","0.21589066481352792","3385","1701","0.3440696772138196","0.03981967441108926"
"63","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4283","3352","931","0.21737100163436843","3352","1701","0.3487296834012233","0.045392903835104505"
"64","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4339","3371","968","0.2230928785434432","3371","1658","0.3383464928555079","0.05029481008578929"
"62","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4342","3369","973","0.22409028097650852","3369","1691","0.34586705123115846","0.03489557530816513"
"66","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4229","3355","874","0.20666824308347126","3355","1682","0.34179269088060543","0.045059302923150434"
"65","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4306","3363","943","0.2189967487227125","3363","1658","0.34150994469719126","0.048316256124596224"
"68","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4312","3372","940","0.21799628942486085","3372","1721","0.34557350375874374","0.043691607304619566"
"53","300","0.4","0.3","0.2","0.05","0.2","0.45","300","4615","3418","1197","0.25937161430119177","3418","1855","0.35508613207797335","0.045786456211819475"
"67","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4289","3386","903","0.2105385870832362","3386","1715","0.3423367270213541","0.050000289484159716"
"70","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4279","3380","899","0.2100958167796214","3380","1649","0.345421028889198","0.04579270065356317"
"71","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4081","3341","740","0.18132810585640774","3341","1530","0.3326883667715715","0.049013521034350534"
"69","300","0.4","0.3","0.2","0.05","0.2","0.5","300","4269","3380","889","0.2082454907472476","3380","1674","0.3419091604166851","0.03896669373100066"
"72","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4046","3333","713","0.17622343054869005","3333","1471","0.3319925758340897","0.0366306618154348"
"75","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4040","3346","694","0.1717821782178218","3346","1466","0.3332394573675231","0.04403845720137791"
"74","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4016","3343","673","0.1675796812749004","3343","1499","0.3351497682282718","0.04607779701402854"
"77","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4063","3335","728","0.17917794732955944","3335","1491","0.3360767886738227","0.03936210459894791"
"73","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4042","3334","708","0.1751608114794656","3334","1468","0.33100460614636307","0.0445083809590654"
"76","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4034","3339","695","0.1722855726326227","3339","1522","0.3350363057585886","0.03605835968073149"
"79","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4013","3324","689","0.17169200099676052","3324","1509","0.337335415919589","0.04420077254440622"
"81","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3851","3305","546","0.14178135549207999","3305","1331","0.3274057251146292","0.03564284912266109"
"78","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4057","3337","720","0.1774710377125955","3337","1469","0.3366147847624709","0.036637215323167584"
"82","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3862","3309","553","0.14319005696530296","3309","1279","0.32322983947224465","0.04306032664608152"
"80","300","0.4","0.3","0.2","0.05","0.2","0.55","300","4072","3355","717","0.17608055009823181","3355","1525","0.33659907305055936","0.04113615132274979"
"83","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3830","3268","562","0.14673629242819844","3268","1336","0.3298465109519725","0.04117069486015338"
"84","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3843","3293","550","0.14311735623211033","3293","1333","0.3268099365092459","0.04303951639552497"
"85","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3834","3325","509","0.13275952008346376","3325","1364","0.32674909174118666","0.03901413410999825"
"86","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3824","3304","520","0.13598326359832635","3304","1286","0.3264555445400119","0.04452439011372071"
"87","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3780","3294","486","0.12857142857142856","3294","1317","0.32821316789803606","0.04774775964890402"
"90","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3801","3293","508","0.13364903972638778","3293","1268","0.3238810855531805","0.04236692888610258"
"89","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3822","3328","494","0.1292517006802721","3328","1338","0.32632926554637626","0.04222460509416588"
"88","300","0.4","0.3","0.2","0.05","0.2","0.6","300","3864","3331","533","0.1379399585921325","3331","1312","0.32533661982002715","0.03803866213989576"
"92","300","0.4","0.3","0.2","0.05","0.2","0.65","300","3607","3257","350","0.09703354588300526","3257","1123","0.3208868610176376","0.039717296306071105"
"93","300","0.4","0.3","0.2","0.05","0.2","0.65","300","3619","3246","373","0.10306714562033711","3246","1136","0.3210211902719503","0.03556415734301676"
"98","300","0.4","0.3","0.2","0.05","0.2","0.65","300","3637","3248","389","0.10695628265053615","3248","1145","0.3200701499938684","0.044428175935796586"
"96","300","0.4","0.3","0.2","0.05","0.2","0.65","300","3625","3247","378","0.10427586206896551","3247","1142","0.31860581713800495","0.04310937234048169"
"101","300","0.4","0.3","0.2","0.05","0.2","0.7","300","3571","3272","299","0.08373004760571269","3272","1035","0.31528969652680716","0.03836709234546933"
"94","300","0.4","0.3","0.2","0.05","0.2","0.65","300","3617","3264","353","0.09759469173348079","3264","1146","0.31935521735397854","0.035163232369733635"
"97","300","0.4","0.3","0.2","0.05","0.2","0.65","300","3679","3291","388","0.10546344115248708","3291","1144","0.32085831591270736","0.03800778887947455"
"104","300","0.4","0.3","0.2","0.05","0.2","0.7","300","3562","3282","280","0.07860752386299831","3282","897","0.3156748750881688","0.04091942968093328"
