"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2d_sens_response_strength"
"05/06/2026 16:07:01:745 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"40","300","0.4","0.3","0.5","0.3","0.2","0.05","300","68970","10291","58679","0.8507901986370886","10291","7233","0.7999973247475545","0.9798866009077507"
"42","300","0.4","0.3","0.5","0.3","0.25","0.05","300","74671","9379","65292","0.8743956823934326","9379","6563","0.840787338109731","1"
"45","300","0.4","0.3","0.5","0.3","0.25","0.05","300","74675","9330","65345","0.8750585872112487","9330","6498","0.8258506572576791","1"
"39","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70963","10473","60490","0.8524160477995575","10473","7304","0.7967986473978617","0.9938048384214065"
"44","300","0.4","0.3","0.5","0.3","0.25","0.05","300","74258","9349","64909","0.8741011069514396","9349","6561","0.8342803353251621","0.9996294706105621"
"50","300","0.4","0.3","0.5","0.3","0.25","0.05","300","75149","9477","65672","0.8738905374655684","9477","6608","0.8288616167922277","1"
"54","300","0.4","0.3","0.5","0.3","0.3","0.05","300","77609","8631","68978","0.8887886714169748","8631","6082","0.8637705664314285","1"
"41","300","0.4","0.3","0.5","0.3","0.25","0.05","300","74947","9435","65512","0.8741110384671835","9435","6559","0.8244764959051795","0.9991300128646068"
"56","300","0.4","0.3","0.5","0.3","0.3","0.05","300","78052","8629","69423","0.8894454978732127","8629","5992","0.8550064368816781","1"
"58","300","0.4","0.3","0.5","0.3","0.3","0.05","300","77546","8561","68985","0.8896010110128182","8561","6057","0.8483364276436914","1"
"60","300","0.4","0.3","0.5","0.3","0.3","0.05","300","77997","8643","69354","0.8891880456940652","8643","6041","0.8581178948736627","1"
"51","300","0.4","0.3","0.5","0.3","0.3","0.05","300","77577","8525","69052","0.8901091818451345","8525","6040","0.8512406605804835","1"
"62","300","0.4","0.3","0.5","0.3","0.35","0.05","300","79918","8080","71838","0.8988963687779975","8080","5672","0.8592269262566881","1"
"59","300","0.4","0.3","0.5","0.3","0.3","0.05","300","77551","8600","68951","0.8891052339750616","8600","6025","0.8408168493995172","1"
"61","300","0.4","0.3","0.5","0.3","0.35","0.05","300","79974","8114","71860","0.8985420261585015","8114","5718","0.8602701040216423","1"
"63","300","0.4","0.3","0.5","0.3","0.35","0.05","300","80339","8205","72134","0.8978702747109125","8205","5724","0.8660090399883321","1"
"55","300","0.4","0.3","0.5","0.3","0.3","0.05","300","77516","8645","68871","0.8884746374941948","8645","6057","0.8620026670337069","1"
"57","300","0.4","0.3","0.5","0.3","0.3","0.05","300","78084","8625","69459","0.8895420316582142","8625","5961","0.8387979937346829","1"
"64","300","0.4","0.3","0.5","0.3","0.35","0.05","300","79334","7988","71346","0.8993117704893236","7988","5587","0.8433879036804107","1"
"47","300","0.4","0.3","0.5","0.3","0.25","0.05","300","75716","9505","66211","0.87446510645042","9505","6597","0.8285165765500183","1"
