"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp1_policy_grid"
"05/05/2026 00:18:33:888 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","response-strength","drift-speed","punishment-value","reporter-protection","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"45","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17603","9286","8317","0.4724762824518548","9286","5589","0.4847759947705536","0.18806595850065813"
"43","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17721","9349","8372","0.4724338355623272","9349","5601","0.4795233416795445","0.1863648946104248"
"46","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17597","9349","8248","0.4687162584531454","9349","5649","0.4835709703719626","0.19012265385133037"
"49","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17670","9261","8409","0.47589134125636673","9261","5582","0.4743985301451616","0.19202064116908596"
"54","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11634","7588","4046","0.34777376654632974","7588","4206","0.4184490693530771","0.1264965137947282"
"51","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11548","7636","3912","0.3387599584343609","7636","4152","0.41921843226309263","0.1183786217540481"
"53","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11668","7585","4083","0.34993143640726776","7585","4165","0.415180969173624","0.12644236608925857"
"47","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17617","9254","8363","0.4747119259805869","9254","5591","0.4849520798179402","0.18728871841335937"
"50","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17757","9294","8463","0.4766007771583038","9294","5614","0.4796677042576985","0.1895059481736821"
"52","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11665","7580","4085","0.35019288469781396","7580","4186","0.42203318610200385","0.12232323107286269"
"55","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11588","7555","4033","0.34803244735933725","7555","4260","0.42866077048371065","0.1244260707851465"
"56","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11720","7564","4156","0.35460750853242323","7564","4178","0.4219005662490534","0.12853596717509672"
"57","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11541","7595","3946","0.341911446148514","7595","4161","0.41667981891449857","0.12636567581527772"
"40","300","0.4","0.3","0.2","0.05","0.2","0.35","300","29806","11101","18705","0.6275582097564248","11101","7220","0.5657980481550864","0.3215729065561336"
"59","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11657","7563","4094","0.351205284378485","7563","4073","0.40975125272822766","0.1309924175556473"
"62","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8441","6347","2094","0.24807487264542116","6347","3194","0.38148949851503944","0.08664199125522382"
"48","300","0.4","0.3","0.2","0.05","0.2","0.4","300","17723","9281","8442","0.47633019240534896","9281","5577","0.4713703147668798","0.18766132925690818"
"60","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11594","7610","3984","0.34362601345523547","7610","4088","0.41683341437600857","0.12641870775175873"
"58","300","0.4","0.3","0.2","0.05","0.2","0.45","300","11694","7602","4092","0.34992303745510517","7602","4236","0.4233385283279986","0.12063499823010178"
"61","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8432","6277","2155","0.2555740037950664","6277","3147","0.3856675265614809","0.08840521175923284"
"63","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8376","6275","2101","0.2508357211079274","6275","3146","0.3810171818021638","0.08804766450587302"
"64","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8448","6301","2147","0.25414299242424243","6301","3078","0.38166196282575265","0.08351634101038136"
"65","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8397","6265","2132","0.2539002024532571","6265","3182","0.38678608592795477","0.08562608599684433"
"71","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6556","5355","1201","0.1831909701037218","5355","2399","0.35587825671363","0.06869276474598733"
"70","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8491","6355","2136","0.25156047579790364","6355","3134","0.3853796150603031","0.0795854660620527"
"66","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8383","6340","2043","0.24370750328044852","6340","3233","0.38802011003429826","0.08313798417256824"
"73","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6642","5374","1268","0.19090635350797952","5374","2381","0.3578306532623577","0.07061311547162355"
"75","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6543","5339","1204","0.18401344948800244","5339","2363","0.3552149091079254","0.07281041759135608"
"72","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6595","5338","1257","0.19059893858984078","5338","2423","0.3576392048000361","0.06784416313544582"
"77","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6624","5361","1263","0.19067028985507245","5361","2424","0.3565631994759902","0.06138263697052531"
"76","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6539","5389","1150","0.17586786970484783","5389","2394","0.35336066499115676","0.0780450125997528"
"78","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6597","5350","1247","0.1890253145369107","5350","2397","0.3527676350844956","0.07397835062970952"
"79","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6666","5355","1311","0.19666966696669666","5355","2448","0.3554128966450533","0.06594928524187768"
"67","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8426","6309","2117","0.2512461428910515","6309","3166","0.3860401263832954","0.08010059854906709"
"81","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5544","4738","806","0.1453823953823954","4738","1897","0.3364229302562254","0.05449158211141313"
"74","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6640","5395","1245","0.1875","5395","2438","0.35794636061092683","0.06782810861859606"
"82","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5458","4672","786","0.1440087944301942","4672","1800","0.33133468731834","0.06948107815043371"
"68","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8356","6275","2081","0.2490426041168023","6275","3093","0.3787191810120544","0.09481189266623953"
"69","300","0.4","0.3","0.2","0.05","0.2","0.5","300","8379","6289","2090","0.2494331065759637","6289","3068","0.3807767340957143","0.08994272835127436"
"80","300","0.4","0.3","0.2","0.05","0.2","0.55","300","6621","5372","1249","0.18864219906358556","5372","2437","0.35645090479964564","0.07032790666021262"
"84","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5461","4687","774","0.14173228346456693","4687","1840","0.3373828162615444","0.06554847391910015"
"85","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5475","4717","758","0.1384474885844749","4717","1879","0.3363277595525273","0.05428716634453729"
