"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2c_sens_init_fear"
"05/05/2026 00:26:43:436 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"35","300","0.4","0.2","0.5","0.3","0.2","0.05","300","81515","12355","69160","0.8484328037784457","12355","8657","0.7653158649320377","1"
"45","300","0.4","0.25","0.5","0.3","0.2","0.05","300","79643","11702","67941","0.8530693218487501","11702","8138","0.7935173937429728","1"
"46","300","0.4","0.25","0.5","0.3","0.2","0.05","300","79926","11531","68395","0.8557290493706678","11531","8124","0.7797987421126196","1"
"48","300","0.4","0.25","0.5","0.3","0.2","0.05","300","79543","11778","67765","0.8519291452421961","11778","8176","0.7893185194030511","1"
"49","300","0.4","0.25","0.5","0.3","0.2","0.05","300","79634","11706","67928","0.8530024863751664","11706","8133","0.7886926895694286","1"
"50","300","0.4","0.25","0.5","0.3","0.2","0.05","300","80037","11591","68446","0.8551794794907356","11591","8154","0.7944326433263821","1"
"47","300","0.4","0.25","0.5","0.3","0.2","0.05","300","79345","11589","67756","0.8539416472367509","11589","8009","0.7896042507353094","1"
"51","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77777","10678","67099","0.8627100556719853","10678","7499","0.7914488481166877","1"
"58","300","0.4","0.3","0.5","0.3","0.2","0.05","300","76970","10761","66209","0.8601922827075484","10761","7493","0.8061965790261323","1"
"52","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77832","10756","67076","0.8618049131462637","10756","7533","0.8173245437308947","1"
"57","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77486","10750","66736","0.8612652608213096","10750","7504","0.7875145020189175","1"
"53","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77808","10844","66964","0.8606312975529509","10844","7565","0.8101181093894105","1"
"60","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77783","10853","66930","0.8604707969607754","10853","7609","0.8095404876697226","1"
"56","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77284","10733","66551","0.8611226127012059","10733","7584","0.8074293107683154","1"
"63","300","0.4","0.35","0.5","0.3","0.2","0.05","300","75130","9963","65167","0.8673898575801944","9963","6992","0.8123992827139733","0.9993693737539453"
"61","300","0.4","0.35","0.5","0.3","0.2","0.05","300","74957","10005","64952","0.866523473458116","10005","6942","0.813587774990379","0.9991652959013114"
"64","300","0.4","0.35","0.5","0.3","0.2","0.05","300","75389","9980","65409","0.8676199445542453","9980","6944","0.809503424452887","1"
"68","300","0.4","0.35","0.5","0.3","0.2","0.05","300","74264","9854","64410","0.867311214047183","9854","6910","0.8060183563834439","0.9995287103179233"
"62","300","0.4","0.35","0.5","0.3","0.2","0.05","300","74289","9904","64385","0.866682819798355","9904","6956","0.8043522335488434","0.9996696168704944"
"71","300","0.4","0.4","0.5","0.3","0.2","0.05","300","70713","8933","61780","0.8736724506102131","8933","6301","0.8193374215832973","0.9961207801776291"
"66","300","0.4","0.35","0.5","0.3","0.2","0.05","300","74597","9910","64687","0.8671528345643926","9910","6921","0.8192331099190107","0.9999841752116218"
"65","300","0.4","0.35","0.5","0.3","0.2","0.05","300","74492","9925","64567","0.8667642162916823","9925","6932","0.8193062373693976","1"
"54","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77470","10601","66869","0.8631599328772428","10601","7515","0.7982051141172785","1"
"55","300","0.4","0.3","0.5","0.3","0.2","0.05","300","78023","10861","67162","0.8607974571600682","10861","7588","0.8101947921650108","1"
