"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2b_sens_init_propensity"
"05/05/2026 00:26:05:269 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"34","300","0.25","0.3","0.5","0.3","0.2","0.05","300","40649","8422","32227","0.7928116312824424","8422","5952","0.6795787149177658","0.48996629763803556"
"39","300","0.25","0.3","0.5","0.3","0.2","0.05","300","41154","8562","32592","0.7919521796180201","8562","5975","0.6812584991428161","0.502474487210494"
"36","300","0.25","0.3","0.5","0.3","0.2","0.05","300","40590","8420","32170","0.792559743779256","8420","5932","0.6816935464196244","0.49138954706015936"
"38","300","0.25","0.3","0.5","0.3","0.2","0.05","300","41357","8558","32799","0.7930700969606113","8558","6019","0.6994679772547092","0.5059257180062612"
"40","300","0.25","0.3","0.5","0.3","0.2","0.05","300","41066","8474","32592","0.79364924755272","8474","5942","0.697450173513699","0.5092385655929933"
"37","300","0.25","0.3","0.5","0.3","0.2","0.05","300","40621","8454","32167","0.7918810467492183","8454","5984","0.6889342140001976","0.4881241020484355"
"42","300","0.3","0.3","0.5","0.3","0.2","0.05","300","53942","9472","44470","0.8244039894701717","9472","6676","0.7824122903946829","0.8000837379655802"
"41","300","0.3","0.3","0.5","0.3","0.2","0.05","300","52519","9360","43159","0.8217787848207315","9360","6566","0.7529735857964472","0.7445994574803037"
"43","300","0.3","0.3","0.5","0.3","0.2","0.05","300","55464","9595","45869","0.8270049040819271","9595","6747","0.7688315692901863","0.8344201937850952"
"45","300","0.3","0.3","0.5","0.3","0.2","0.05","300","53751","9521","44230","0.8228684117504791","9521","6716","0.7586028168067669","0.796615363250503"
"44","300","0.3","0.3","0.5","0.3","0.2","0.05","300","53362","9467","43895","0.8225891083542596","9467","6639","0.7529105898859004","0.7847202947118054"
"49","300","0.3","0.3","0.5","0.3","0.2","0.05","300","53740","9436","44304","0.8244138444361742","9436","6613","0.7594899578197543","0.7883764283268068"
"48","300","0.3","0.3","0.5","0.3","0.2","0.05","300","53490","9380","44110","0.8246401196485325","9380","6668","0.7765609642960062","0.7745140940984402"
"47","300","0.3","0.3","0.5","0.3","0.2","0.05","300","55889","9736","46153","0.8257975630267137","9736","6731","0.7876873312745128","0.8512937568622109"
"50","300","0.3","0.3","0.5","0.3","0.2","0.05","300","53297","9372","43925","0.8241552057339062","9372","6612","0.7568587642516772","0.7822319486218596"
"46","300","0.3","0.3","0.5","0.3","0.2","0.05","300","54607","9530","45077","0.8254802497848261","9530","6683","0.7694026493582767","0.8141018677318258"
"51","300","0.35","0.3","0.5","0.3","0.2","0.05","300","69972","10389","59583","0.8515263248156405","10389","7275","0.8043545715588263","0.9938820458147054"
"56","300","0.35","0.3","0.5","0.3","0.2","0.05","300","71291","10528","60763","0.8523235752058465","10528","7276","0.7918849642812551","0.9981722540444874"
"52","300","0.35","0.3","0.5","0.3","0.2","0.05","300","67570","10210","57360","0.8488974396921711","10210","7180","0.7942269141468803","0.9932793517800114"
"54","300","0.35","0.3","0.5","0.3","0.2","0.05","300","67478","10130","57348","0.8498769969471531","10130","7096","0.8016821110581456","0.9915589698378845"
"53","300","0.35","0.3","0.5","0.3","0.2","0.05","300","69236","10378","58858","0.8501068808134497","10378","7159","0.7746124151410696","0.9969520693060838"
"55","300","0.35","0.3","0.5","0.3","0.2","0.05","300","69182","10323","58859","0.8507848862420861","10323","7315","0.8037932529866256","0.9948863525956118"
