"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2a_sens_employees"
"05/05/2026 00:25:37:258 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"40","200","0.4","0.3","0.5","0.3","0.2","0.05","300","44910","7966","36944","0.8226230238254286","7966","5555","0.7611322682085181","0.967695004591841"
"27","150","0.4","0.3","0.5","0.3","0.2","0.05","300","27395","5954","21441","0.7826610695382369","5954","4159","0.6824466074438496","0.7102908302641182"
"31","200","0.4","0.3","0.5","0.3","0.2","0.05","300","43843","7817","36026","0.8217047191113747","7817","5488","0.7473272893072247","0.9601429777683612"
"29","150","0.4","0.3","0.5","0.3","0.2","0.05","300","27728","5990","21738","0.7839728793998846","5990","4181","0.6948313594812032","0.7250271756680807"
"30","150","0.4","0.3","0.5","0.3","0.2","0.05","300","27873","5968","21905","0.7858859828507875","5968","4185","0.6816242327267155","0.7173557799541728"
"42","250","0.4","0.3","0.5","0.3","0.2","0.05","300","61184","9445","51739","0.8456295763598326","9445","6659","0.7767951376947217","1"
"41","250","0.4","0.3","0.5","0.3","0.2","0.05","300","61471","9476","51995","0.8458460086870232","9476","6620","0.7955887005164496","0.9995184050180747"
"47","250","0.4","0.3","0.5","0.3","0.2","0.05","300","61664","9454","52210","0.8466852620653866","9454","6585","0.7684168508882206","0.9993557542058251"
"32","200","0.4","0.3","0.5","0.3","0.2","0.05","300","44423","7877","36546","0.8226819440379983","7877","5503","0.7629448514040651","0.9693110603351793"
"48","250","0.4","0.3","0.5","0.3","0.2","0.05","300","61617","9523","52094","0.845448496356525","9523","6671","0.7758335781951883","0.9993259804228644"
"33","200","0.4","0.3","0.5","0.3","0.2","0.05","300","44849","7995","36854","0.8217351557448327","7995","5555","0.7664096951621936","0.9622530761241115"
"49","250","0.4","0.3","0.5","0.3","0.2","0.05","300","62177","9471","52706","0.847676793669685","9471","6674","0.7948465647497868","1"
"43","250","0.4","0.3","0.5","0.3","0.2","0.05","300","62560","9530","53030","0.8476662404092071","9530","6638","0.7836575374584925","0.9995640401603062"
"34","200","0.4","0.3","0.5","0.3","0.2","0.05","300","45099","8021","37078","0.8221468325240028","8021","5576","0.7613571858104371","0.972961424743036"
"44","250","0.4","0.3","0.5","0.3","0.2","0.05","300","61067","9364","51703","0.8466602256537901","9364","6610","0.7809559253606986","0.9994507833790246"
"50","250","0.4","0.3","0.5","0.3","0.2","0.05","300","61219","9405","51814","0.8463712246198076","9405","6580","0.7793820275297011","0.9987125158461359"
"53","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77732","10846","66886","0.8604693047908197","10846","7555","0.7984690758087858","1"
"52","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77530","10778","66752","0.860982845350187","10778","7609","0.7916259761001424","1"
"54","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77265","10712","66553","0.8613602536724261","10712","7545","0.7916880815781652","1"
"55","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77871","10772","67099","0.8616686571380874","10772","7507","0.7962652980756469","1"
"56","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77958","10764","67194","0.8619256522743015","10764","7542","0.7893702593502601","1"
"51","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77256","10648","66608","0.8621725173449312","10648","7572","0.7954460804291944","1"
"57","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77166","10626","66540","0.8622968664956069","10626","7525","0.7973562959131875","1"
"59","300","0.4","0.3","0.5","0.3","0.2","0.05","300","76899","10710","66189","0.8607264073655054","10710","7474","0.8067828993265085","1"
"58","300","0.4","0.3","0.5","0.3","0.2","0.05","300","78119","10879","67240","0.86073810468644","10879","7605","0.8150095865416026","1"
"60","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77264","10804","66460","0.8601677365914268","10804","7481","0.7958842262579056","1"
"61","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108074","12852","95222","0.8810814812073209","12852","8943","0.8225298967171889","1"
"62","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108632","12870","95762","0.8815266219898372","12870","9013","0.8194499370548418","1"
"64","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108464","12799","95665","0.8819977135270689","12799","8968","0.8196027711681789","1"
"70","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108379","12872","95507","0.8812316039085063","12872","9007","0.8402131516515958","1"
"65","400","0.4","0.3","0.5","0.3","0.2","0.05","300","109003","13050","95953","0.8802785244442813","13050","9037","0.8265848694932081","1"
"66","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108446","12827","95619","0.881719934345204","12827","9018","0.8182787228267572","1"
"68","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108181","12872","95309","0.881014226158013","12872","9006","0.8180612560052016","1"
"63","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108157","12792","95365","0.8817274887432158","12792","8984","0.8162480831896427","1"
"67","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108162","12836","95326","0.8813261589097835","12836","9033","0.8271669407447355","1"
"69","400","0.4","0.3","0.5","0.3","0.2","0.05","300","108082","12796","95286","0.881608408430636","12796","8982","0.8148559436372281","1"
