"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2e_sens_drift_speed"
"05/05/2026 00:27:39:020 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"43","300","0.4","0.3","0.5","0.3","0.2","0.15","300","57935","17206","40729","0.7030119962026409","17206","12076","0.5821982451718584","0.7774161779629628"
"36","300","0.4","0.3","0.5","0.3","0.2","0.12","300","67796","16591","51205","0.7552805475249277","16591","11592","0.6531946745863458","0.945136348763773"
"44","300","0.4","0.3","0.5","0.3","0.2","0.15","300","57334","17089","40245","0.701939512331252","17089","12040","0.5813770545398275","0.7748659153261602"
"40","300","0.4","0.3","0.5","0.3","0.2","0.12","300","66141","16348","49793","0.7528310730106893","16348","11456","0.6447277149521462","0.9348600296184858"
"39","300","0.4","0.3","0.5","0.3","0.2","0.12","300","66768","16566","50202","0.7518871315600287","16566","11566","0.6490229382704965","0.9446607471895144"
"35","300","0.4","0.3","0.5","0.3","0.2","0.12","300","66512","16467","50045","0.7524206158287227","16467","11446","0.6543881286164036","0.9446465469453822"
"32","300","0.4","0.3","0.5","0.3","0.2","0.12","300","67495","16693","50802","0.7526779761463812","16693","11688","0.6699717884849657","0.9632979041315506"
"41","300","0.4","0.3","0.5","0.3","0.2","0.15","300","57640","17291","40349","0.7000173490631506","17291","12103","0.602766046171735","0.7821880988411675"
"48","300","0.4","0.3","0.5","0.3","0.2","0.15","300","57379","17211","40168","0.7000470555429686","17211","12017","0.5761223464293844","0.77564164125857"
"47","300","0.4","0.3","0.5","0.3","0.2","0.15","300","59529","17517","42012","0.7057400594668145","17517","12179","0.5758366882552576","0.8107693218318993"
"46","300","0.4","0.3","0.5","0.3","0.2","0.15","300","59565","17449","42116","0.7070595148157475","17449","12158","0.5935751226948446","0.7923018952982421"
"45","300","0.4","0.3","0.5","0.3","0.2","0.15","300","61623","17928","43695","0.7090696655469548","17928","12540","0.6142553235317422","0.8433874859346949"
"49","300","0.4","0.3","0.5","0.3","0.2","0.15","300","56494","17084","39410","0.6975962049067158","17084","11896","0.5836376338674134","0.770693117055254"
"50","300","0.4","0.3","0.5","0.3","0.2","0.15","300","58553","17431","41122","0.7023038956159376","17431","12092","0.5878868882788216","0.7816993763871866"
"51","300","0.4","0.3","0.5","0.3","0.2","0.18","300","51028","17561","33467","0.6558556086854276","17561","12210","0.5230886419549527","0.6151139916845988"
"52","300","0.4","0.3","0.5","0.3","0.2","0.18","300","51918","17788","34130","0.6573827959474556","17788","12376","0.5402317394633437","0.638144028435355"
"54","300","0.4","0.3","0.5","0.3","0.2","0.18","300","51835","17592","34243","0.6606154142953603","17592","12316","0.5244127137838394","0.6252291287597224"
"55","300","0.4","0.3","0.5","0.3","0.2","0.18","300","51329","17635","33694","0.6564320364706111","17635","12281","0.5203471585004121","0.6184297327257704"
"53","300","0.4","0.3","0.5","0.3","0.2","0.18","300","51306","17470","33836","0.6594940162943905","17470","12322","0.531698070313566","0.6063142675260237"
"56","300","0.4","0.3","0.5","0.3","0.2","0.18","300","52004","17555","34449","0.6624298130913007","17555","12306","0.5361003725837621","0.6362893510945162"
"57","300","0.4","0.3","0.5","0.3","0.2","0.18","300","49688","17127","32561","0.65530912896474","17127","11967","0.5084265812734712","0.5848132940762111"
"60","300","0.4","0.3","0.5","0.3","0.2","0.18","300","50211","17331","32880","0.654836589591922","17331","12122","0.5262906779266164","0.6031782916387157"
"58","300","0.4","0.3","0.5","0.3","0.2","0.18","300","50906","17399","33507","0.6582131772286175","17399","12305","0.5303825522168764","0.612250276829226"
"61","300","0.4","0.3","0.5","0.3","0.2","0.21","300","48298","18042","30256","0.6264441591784339","18042","12615","0.4980446476066008","0.5650713684618821"
"62","300","0.4","0.3","0.5","0.3","0.2","0.21","300","46957","17687","29270","0.6233362437975168","17687","12324","0.5058637841952983","0.5434000307492213"
